antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
is_peak,"is_normal, is_outlier",0.02133194588969823,0.25442247658688866,0.0203,0.9512,3.7387,1.0,0.014864036659696966,15.284339229968838,0.7484971169181696,0.0794297352342159,0.9345735536908756,0.515487056711058
is_peak,is_normal,0.02133194588969823,0.3177245924384322,0.0205,0.9593,3.0194,1.0,0.01368710980403622,16.783975026014613,0.6833905513655737,0.06423516603157321,0.9404193584386278,0.5118800369226401
"is_peak, is_outlier",is_normal,0.02115851543531044,0.3177245924384322,0.0203,0.959,3.0184,1.0,0.013568782470085203,16.64751994450228,0.6831519138393696,0.06369080021774633,0.9399309925241902,0.5114405111317919
"is_outlier, is_peak_hour",is_normal,0.15816857440166493,0.3177245924384322,0.1217,0.7697,2.4227,1.0,0.0714941331418921,2.963024627124523,0.6975619719748274,0.34378060724779624,0.662507023787226,0.5764623075155136
is_peak,is_outlier,0.02133194588969823,0.4101630246271245,0.0212,0.9919,2.4182,1.0,0.012408939988009658,72.54994797086428,0.5992583296293392,0.05156382079459003,0.9862163925961519,0.521727771188917
"is_normal, is_peak",is_outlier,0.02046479361775928,0.4101630246271245,0.0203,0.9915,2.4174,1.0,0.01189746151474147,69.60076309399949,0.5985811481562191,0.049450549450549455,0.9856323414349718,0.520498441251299
is_peak_hour,"is_night, is_normal",0.2500867152271939,0.24956642386403052,0.1479,0.5915,2.3703,1.0,0.08552293041763233,1.83722447671998,0.7708983800983199,0.4206114398422091,0.4557006981611128,0.592156143646526
"is_night, is_normal",is_peak_hour,0.24956642386403052,0.2500867152271939,0.1479,0.5928,2.3703,1.0,0.08552293041763233,1.8415106088533582,0.7703639000566523,0.4206114398422091,0.4569675595718324,0.592156143646526
"is_weekend, is_normal",is_outlier,0.10891432535553243,0.4101630246271245,0.0978,0.8981,2.1896,1.0,0.053142147161665945,5.787775320846342,0.6096985608551497,0.23219431864965007,0.8272220422243739,0.5682834866215106
is_peak_hour,"is_night, is_outlier",0.2500867152271939,0.2956989247311828,0.1582,0.6325,2.1388,1.0,0.08421820161943018,1.9162304727125181,0.7100267580375547,0.4080536912751678,0.478142105430329,0.583676142210436
"is_night, is_outlier",is_peak_hour,0.2956989247311828,0.2500867152271939,0.1582,0.5349,2.1388,1.0,0.08421820161943018,1.6123608455707874,0.7560097763492701,0.4080536912751678,0.37979143890337236,0.583676142210436
is_normal,"is_night, is_outlier",0.3177245924384322,0.2956989247311828,0.1896,0.5966,2.0176,1.0,0.0956086663011573,1.7459804734674873,0.7392511666653486,0.4472176759410802,0.4272559085302843,0.6188357194995453
"is_night, is_outlier",is_normal,0.2956989247311828,0.3177245924384322,0.1896,0.6411,2.0176,1.0,0.0956086663011573,1.9007836109354133,0.7161325017634774,0.4472176759410802,0.47390118778019125,0.6188357194995453
"is_normal, is_peak_hour",is_outlier,0.1479361775927853,0.4101630246271245,0.1217,0.823,2.0065,1.0,0.061070228926996664,3.3319929800865085,0.5887012362689139,0.2790143084260731,0.6998793196815087,0.5599032391583988
"is_weekend, is_outlier",is_normal,0.15452653485952134,0.3177245924384322,0.0978,0.633,1.9923,1.0,0.048717895965549235,1.8590440004200517,0.5890932896890343,0.26123205187586845,0.46208911689338733,0.4704284475026833
"is_normal, is_off-peak",is_outlier,0.309573361082206,0.4101630246271245,0.2484,0.8022,1.9559,1.0,0.1213768645578534,2.9826034023812547,0.7078642757006395,0.5268579838116262,0.6647224370489155,0.7038688625555931
is_outlier,"is_normal, is_off-peak",0.4101630246271245,0.309573361082206,0.2484,0.6055,1.9559,1.0,0.1213768645578534,1.750116828553679,0.8285820880812249,0.5268579838116262,0.4286095741240235,0.7038688625555931
is_normal,is_outlier,0.3177245924384322,0.4101630246271245,0.2544,0.8008,1.9523,1.0,0.12410359675392088,2.960496818857829,0.7149393070184283,0.5373626373626373,0.66221885677087,0.7105300876132093
is_outlier,is_normal,0.4101630246271245,0.3177245924384322,0.2544,0.6203,1.9523,1.0,0.12410359675392088,1.7968611791571356,0.8269836030022044,0.5373626373626373,0.44347398029430635,0.7105300876132093
"is_weekend, is_peak_hour",is_normal,0.07145334720776969,0.3177245924384322,0.0441,0.6165,1.9404,1.0,0.021348849794548375,1.7790978981985184,0.5219292956329655,0.12763819095477386,0.43791738441567407,0.3775755712892695
